"id";"taskname";"tasksequence";"istask";"sampen";"apen";"pen";"lle";"energy";"energyen"
"146";"HiddenExit";"3";"1";"2.1629029458391957";"0.5879408359047864";"2.468596992633114";"0";"502467.33272390545";"2.640282462674497"
"147";"HiddenExit";"4";"0";"2.231577461542438";"0.6036785574266914";"2.461832374034022";"0.009654247388876425";"450970.43297878635";"2.640041483662143"
"157";"HiddenExit";"1";"1";"2.1916512967531814";"0.519606048540068";"2.488793174184556";"0.0006404395591970227";"320577.79739526514";"2.651835849194833"
"158";"HiddenExit";"2";"0";"2.068722533116699";"0.5245444985606786";"2.4915117263925275";"0.002964653741513264";"384649.87426321686";"2.650444186951091"
"159";"HiddenExit";"3";"1";"2.147663729193642";"0.4908457202716656";"2.6283747448649004";"0.0048641255860321945";"340467.8559872186";"2.64348909862166"
"160";"HiddenExit";"4";"0";"2.2325398830522465";"0.531701808327167";"2.3507156656092363";"0.006083450446482407";"392112.09453360306";"2.636699083342728"
"170";"HiddenExit";"1";"1";"1.961563689635317";"0.5422923491663045";"2.642117815819545";"0";"273075.6476647325";"2.643498837837339"
"171";"HiddenExit";"2";"0";"2.1844072425664613";"0.6654705086254782";"2.6660349721205447";"0.008298933286032626";"284958.6664168609";"2.651929062757042"
"172";"HiddenExit";"3";"1";"2.1057523172731614";"0.5684032694404548";"2.6255725568649906";"0";"357914.4915549937";"2.660013922933726"
"173";"HiddenExit";"4";"0";"2.187259195462304";"0.5490704404399502";"2.5296078755680993";"0";"311808.87341311807";"2.6578742667092268"
"183";"HiddenExit";"1";"1";"1.9473396713947282";"0.5272166467871706";"2.795076482030309";"0.0011552484923072885";"332378.3118237325";"2.582206774617876"
"184";"HiddenExit";"2";"0";"2.179449491496646";"0.594929376179854";"2.8467667667067227";"0.0023764711977859276";"323379.5448570213";"2.5751772615020316"
"185";"HiddenExit";"3";"1";"2.022147655488232";"0.5939209207448335";"2.9511346845258757";"0.0023624829368209684";"296019.96633739135";"2.6584949345369475"
"186";"HiddenExit";"4";"0";"2.0796953681146837";"0.4803919894912685";"2.7853167353016426";"0";"305829.962253432";"2.609957359376134"
"196";"HiddenExit";"1";"1";"2.1005048457625075";"0.6429234653945812";"2.8680775098249494";"0.0003366434026803599";"211993.4890897008";"2.6418807080811235"
"197";"HiddenExit";"2";"0";"2.113967007097402";"0.5434301106756352";"2.982769588867856";"0";"201083.7361520714";"2.6307745803886444"
"198";"HiddenExit";"3";"1";"2.0754872684967323";"0.4567313576724872";"2.768813403702206";"0.0040181591871209605";"234636.18469423777";"2.6467468714750613"
"199";"HiddenExit";"4";"0";"2.193113983468882";"0.5939064631972264";"2.666396103591774";"0";"223925.94641612974";"2.6498780491017984"
"209";"HiddenExit";"1";"1";"2.0661478205083963";"0.5379407036340935";"2.4213585035947114";"0.008881455349250477";"259126.26067260443";"2.661778956979247"
"210";"HiddenExit";"2";"0";"2.043882814450968";"0.5110389337291661";"2.43276453898761";"0";"260273.57899857042";"2.666025009696592"
"211";"HiddenExit";"3";"1";"2.2122316802620063";"0.5726130659586226";"2.552231190166392";"0";"313096.72486959095";"2.623033495686246"
"212";"HiddenExit";"4";"0";"2.1321821509221754";"0.41784129085625343";"2.307846299793448";"0.011122008341477384";"291083.9792987711";"2.6203332616937014"
"222";"HiddenExit";"1";"1";"2.205016046179993";"0.49597620087918237";"2.270315963846273";"0";"673021.6041269768";"2.6494555919671745"
"223";"HiddenExit";"2";"0";"1.9592981875522828";"0.35185020361323005";"2.3796071332763318";"0";"540302.7592067686";"2.6487797381022897"
"224";"HiddenExit";"3";"1";"1.341131700949652";"0.2856521912506911";"2.243918731113749";"0.008626713337726497";"620427.6792664345";"2.6636708999640515"
"225";"HiddenExit";"4";"0";"2.167860944648844";"0.48503678821551155";"2.272457790881924";"0";"573852.8889293467";"2.649451490740886"
"235";"HiddenExit";"1";"1";"2.1949016959200796";"0.5274971838418288";"2.1931309722481465";"0.004660806264223072";"302413.6893663403";"2.632528718988814"
"236";"HiddenExit";"2";"0";"1.9081797568377439";"0.4668625754997824";"2.3262973995282374";"0";"373088.91963432974";"2.6144767667327824"
